last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Brogdon, Connor,641401,44.9,0.3,19.2,,35.6,,,,,
Castillo, Diego,650895,4.0,29.9,,66.1,,,,,,
Bradley, Archie,605151,46.7,23.8,,,14.0,15.5,,,,
Barnes, Matt,598264,49.8,,,,1.7,48.4,,,,
Martin, Brett,656685,24.1,30.3,,24.5,,21.1,,,,
Barría, Jaime,642545,36.3,18.9,,36.4,8.4,,,,,
Crochet, Garrett,676979,64.3,,,27.9,7.9,,,,,
Young, Alex,622065,13.9,25.4,22.6,,19.1,19.0,,,,
de Geus, Brett,676969,0.9,55.1,24.9,,,19.1,,,,
Santana, Dennis,642701,5.9,42.2,,28.7,20.6,2.5,,,,
Thornton, Trent,663423,39.0,0.7,21.0,8.1,6.3,24.9,,,,
Kennedy, Ian,453178,82.5,,3.4,,8.6,5.5,,,,
Misiewicz, Anthony,664948,35.3,,33.3,,,31.3,,,,
Wells, Tyler,669330,58.6,,27.0,,10.4,4.0,,,,
Carrasco, Carlos,471911,39.7,10.7,,20.1,24.6,4.8,,,,
Detwiler, Ross,446321,33.9,17.3,36.8,,4.4,7.5,,,,
McGee, Jake,459429,90.1,,,9.9,,,,,,
Minter, A.J.,621345,42.5,,44.2,,13.4,,,,,
Chargois, JT,608638,4.8,35.5,,59.7,,,,,,
Allen, Logan,663531,41.9,1.5,0.5,31.2,16.1,8.8,,,,
Montero, Rafael,606160,35.4,25.9,,19.5,19.2,,,,,
Givens, Mychal,571710,46.8,,,15.6,37.6,,,,,
Fry, Paul,643316,54.5,,,45.0,0.6,,,,,
Graveman, Kendall,608665,8.6,62.9,,17.7,6.9,3.9,,,,
Dunn, Justin,643290,51.7,,,14.8,1.3,32.2,,,,
Almonte, Yency,622075,44.9,3.8,,22.4,10.2,,,,18.6,
Alcala, Jorge,660896,37.6,5.9,,40.7,15.8,,,,,
Jiménez, Joe,641729,54.0,,,32.9,13.0,,,,,
Doolittle, Sean,448281,81.1,,,5.4,,9.0,4.5,,,
Watson, Tony,453265,25.2,17.4,,24.1,33.3,,,,,
Raley, Brooks,548384,7.3,14.9,32.4,,3.8,13.2,,,28.4,
Hudson, Daniel,543339,68.2,0.2,,28.8,2.8,,,,,
Andriese, Matt,542882,43.9,4.4,5.1,,33.9,12.6,,,,
Anderson, Chase,502624,32.9,6.2,18.1,4.3,29.5,9.0,,,,
Leone, Dominic,608678,47.4,1.4,23.6,27.6,,,,,,
Howard, Sam,607572,43.3,,,55.0,1.8,,,,,
Mayza, Tim,641835,0.2,71.0,,28.8,,,,,,
Holland, Derek,502706,9.8,46.8,,,9.6,33.8,,,,
Bielak, Brandon,656232,40.1,15.8,5.3,16.9,11.5,10.4,,,,
Loup, Aaron,571901,,51.9,32.9,,8.6,6.6,,,,
Lamet, Dinelson,659275,44.2,3.5,,50.6,1.7,,,,,
Garrett, Amir,607237,48.4,0.5,,51.1,,,,,,
Payamps, Joel,606303,40.8,19.8,,29.6,9.8,,,,,
Toussaint, Touki,657053,3.3,48.3,,,,27.2,21.2,,,
Hernández, Elieser,622694,51.5,1.8,,34.5,12.2,,,,,
Sims, Lucas,608371,41.2,,,34.5,0.4,23.9,,,,
Tomlin, Josh,458708,22.5,,47.2,,1.5,28.8,,,,
Helsley, Ryan,664854,54.0,1.7,,34.7,2.7,6.8,,,,
Clay, Sam,621348,,65.8,,24.4,9.8,,,,,
LeBlanc, Wade,453281,15.0,23.9,28.0,,22.3,10.8,,,,
Taylor, Josh,657031,37.0,11.8,,46.1,,5.1,,,,
Winkler, Dan,595465,19.9,6.4,66.6,,,7.1,,,,
Wisler, Matt,605538,9.1,,,90.9,,,,,,
Peralta, Wandy,593974,15.1,22.4,,14.3,48.1,,,,,
Bickford, Phil,641360,64.2,0.1,,35.3,0.4,,,,,
De Jong, Chase,608328,48.8,0.3,,22.7,4.6,23.6,,,,
Turnbull, Spencer,605513,38.6,21.9,,24.5,7.5,7.5,,,,
Davis, Wade,451584,40.3,6.5,32.0,,1.6,19.6,,,,
Fairbanks, Pete,664126,57.9,0.3,,41.9,,,,,,
Stephenson, Robert,596112,49.4,,,28.9,,20.9,0.8,,,
Dobnak, Randy,677976,0.8,58.7,,33.2,7.3,,,,,
White, Mitch,669952,52.5,0.3,,3.7,1.3,28.1,,,14.2,
Santillan, Tony,663574,47.0,,,46.5,6.4,,,,,
Suero, Wander,593833,0.5,,75.3,,15.8,8.4,,,,
Rodríguez, Joely,570257,15.6,43.0,,3.8,37.6,,,,,
Valdez, César,491624,8.7,11.2,,5.2,74.9,,,,,
Hernández, Darwinzon,650382,73.1,0.9,,20.6,,5.4,,,,
Wells, Alex,649144,50.8,,,16.0,13.8,19.4,,,,
Clarke, Taylor,664199,53.4,,,29.0,15.7,2.0,,,,
Springs, Jeffrey,605488,41.9,,,30.2,27.8,,,,,
Wendelken, J.B.,605525,50.5,13.8,,23.6,9.6,2.5,,,,
Taylor, Blake,642130,72.5,,,27.5,,,,,,
Sale, Chris,519242,47.6,1.4,,31.5,19.6,,,,,
Long, Sam,669674,42.2,1.0,,2.2,20.5,34.2,,,,
Gilbreath, Lucas,656458,63.1,,,35.3,,,1.6,,,
Garcia, Bryan,650530,1.0,54.9,,26.4,17.8,,,,,
Lugo, Seth,607625,29.0,24.9,,14.4,3.2,28.5,,,,
Foster, Matt,641582,63.5,,3.4,10.6,22.5,,,,,
Castellanos, Humberto,528748,22.2,34.0,,6.6,11.0,26.2,,,,
Farmer, Buck,571656,47.7,,,26.7,25.6,,,,,
Parker, Blake,453284,46.3,,11.1,,,7.9,34.8,,,
Ponce, Cody,664074,41.7,0.4,18.8,14.3,8.1,16.6,,,,
Kelly, Joe,523260,6.9,33.8,,,16.2,43.1,,,,
Coonrod, Sam,656322,19.5,53.8,,18.5,8.1,,,,,
Mikolas, Miles,571945,26.6,22.9,,25.7,7.2,17.7,,,,
Patton, Spencer,607359,56.5,0.1,,33.6,,,9.8,,,
Curtiss, John,595928,50.2,,,49.8,,,,,,
De Los Santos, Enyel,660853,68.4,,,20.5,11.0,,,,,
Arihara, Kohei,685503,30.3,15.9,12.8,17.5,13.5,2.4,7.5,,,
King, John,667463,,57.6,9.9,8.0,18.8,,,,5.6,
Díaz, Miguel,622766,45.5,0.7,,1.9,51.9,,,,,
Abreu, Bryan,650556,43.3,2.0,,37.3,,17.4,,,,
Armstrong, Shawn,542888,55.2,,33.0,11.8,,,,,,
Bleier, Richard,542947,1.0,61.6,23.5,12.6,1.3,,,,,
Valdez, Phillips,570488,0.3,40.1,,10.5,49.1,,,,,
Blackburn, Paul,621112,6.5,41.6,25.6,,14.2,12.2,,,,
Smith, Burch,572143,68.9,,,2.1,13.6,15.5,,,,
Muller, Kyle,666205,41.4,1.0,,35.0,1.9,20.7,,,,
Bowden, Ben,641386,70.9,,,10.5,18.5,,,,,
Kranick, Max,668820,48.5,,,31.9,7.4,12.2,,,,
Newcomb, Sean,656794,57.7,0.1,25.7,,0.9,15.6,,,,
Cahill, Trevor,502239,6.2,29.8,18.5,,23.9,21.7,,,,
Rainey, Tanner,663432,64.7,,,35.2,0.2,,,,,
Holloway, Jordan,656548,33.4,12.2,,41.3,2.7,10.4,,,,
Martin, Chris,455119,40.2,13.1,18.4,15.9,,,12.4,,,
Minaya, Juan,573668,51.4,,,3.6,44.9,,,,,
Barnes, Charlie,656212,,44.1,,24.3,29.2,2.4,,,,
Keller, Kyle,664918,55.7,,,,,44.3,,,,
Ponce de Leon, Daniel,594965,73.7,0.2,10.0,,12.1,4.1,,,,
Vesia, Alex,681911,72.4,,,17.5,10.1,,,,,
Smith, Joe,501925,23.4,39.5,,34.9,2.2,,,,,
Kay, Anthony,641743,58.4,,10.8,8.9,11.4,10.5,,,,
Lucchesi, Joey,664192,,60.1,3.3,,0.2,36.5,,,,
Rogers, Taylor,573124,,46.0,,,,,,,54.0,
Abreu, Albert,656061,16.4,32.7,,34.9,15.9,0.2,,,,
Faria, Jake,607188,56.0,0.2,,7.5,,15.8,20.5,,,
Lange, Alex,656638,45.2,0.2,,0.2,15.2,39.3,,,,
Kowar, Jackson,663804,55.3,,,13.0,30.4,1.3,,,,
Junis, Jakob,596001,34.8,4.1,17.4,39.9,3.3,0.5,,,,
Machado, Andrés,600921,56.0,14.7,,19.3,10.0,,,,,
Mantiply, Joe,573009,7.2,44.1,,,18.4,30.3,,,,
Miller, Andrew,453192,16.3,19.0,,64.7,,,,,,
Smith, Drew,622098,51.8,4.4,31.0,0.7,4.6,7.5,,,,
Santana, Edgar,650828,1.0,63.9,,35.1,,,,,,
Banda, Anthony,607455,47.9,,1.0,,37.2,13.9,,,,
Vest, Will,676684,56.8,,,23.4,19.8,,,,,
Soria, Joakim,465657,59.3,0.7,,21.3,14.4,4.3,,,,
Dolis, Rafael,503569,0.2,65.0,,23.0,,,11.9,,,
Garrett, Braxton,666129,33.4,15.6,,21.7,11.9,17.4,,,,
Wilson, Justin,458677,58.1,,35.8,6.1,,,,,,
Sandlin, Nick,680704,15.9,35.5,,46.4,,,2.2,,,
Okert, Steven,595345,32.1,8.3,,59.6,,,,,,
Gilbert, Tyler,656457,24.5,16.5,45.0,,,7.7,6.3,,,
Neidert, Nick,663734,47.0,,0.2,30.9,12.0,9.9,,,,
Sanchez, Aaron,592717,18.7,30.6,,,20.2,30.6,,,,
Yang, Hyeon-Jong,660365,45.8,,,23.0,27.4,3.9,,,,
Chatwood, Tyler,543022,8.0,46.0,36.2,,3.6,6.3,,,,
Claudio, Alex,592222,14.3,34.2,,27.1,24.4,,,,,
Burr, Ryan,621114,50.3,,40.1,9.6,,,,,,
Sadler, Casey,594987,0.3,27.0,40.8,,0.3,31.5,,,,
Oviedo, Luis,665854,50.5,,,21.2,6.2,22.1,,,,
Ramirez, Noé,598287,37.5,,,,29.9,32.6,,,,
Brach, Brad,542960,47.5,3.5,0.2,13.0,35.9,,,,,
Lowther, Zac,675912,54.1,,,13.1,17.2,15.6,,,,
Barnes, Jacob,606930,54.7,,37.0,0.9,7.4,,,,,
Webb, Jacob,657097,44.5,,,,46.1,9.3,,,,
Slegers, Aaron,642083,15.9,41.5,,33.4,9.2,,,,,
Maples, Dillon,596027,33.1,18.6,,35.8,,12.6,,,,
Swanson, Erik,657024,59.9,,,19.0,,,21.1,,,
Goudeau, Ashton,623485,45.3,,,,22.0,32.7,,,,
González, Victor,624647,,55.3,,44.7,,,,,,
Ginkel, Kevin,656464,59.4,,,40.3,0.4,,,,,
Sampson, Adrian,592716,20.8,38.3,3.6,13.0,24.4,,,,,
Falter, Bailey,663559,6.2,62.0,,23.4,5.8,2.7,,,,
Poteet, Cody,547001,48.8,,,18.9,18.2,14.0,,,,
Head, Louis,545343,52.4,,,47.1,0.5,,,,,
Cotton, Jharel,605194,46.2,,1.3,13.9,30.3,8.3,,,,
Hendrix, Ryan,641682,43.9,0.6,0.4,55.0,,0.2,,,,
Cousins, Jake,664776,1.3,36.2,,61.0,1.5,,,,,
Rogers, Josh,642028,50.7,0.8,,35.1,12.9,0.6,,,,
Ashby, Aaron,676879,3.0,32.9,,38.5,21.6,3.9,,,,
Gil, Luis,661563,53.4,,,39.3,7.3,,,,,
Middleton, Keynan,641871,57.7,,,30.2,12.1,,,,,
Coulombe, Danny,543056,25.1,8.1,,42.0,,24.8,,,,
Antone, Tejay,622088,,32.1,,33.8,,34.0,,,,
Chavez, Jesse,445926,3.4,35.0,41.3,10.4,9.8,,,,,
Nelson, Jimmy,519076,33.1,,,32.5,,34.4,,,,
Graterol, Brusdar,660813,2.1,59.1,7.5,31.4,,,,,,
Evans, Demarcus,663770,60.3,,24.9,,,14.8,,,,
Tapia, Domingo,593619,15.0,58.1,1.5,19.2,6.2,,,,,
McGowin, Kyle,641851,10.8,20.5,,68.7,,,,,,
Workman, Brandon,519443,35.3,,13.8,,,50.9,,,,
Knehr, Reiss,663753,54.6,,15.2,7.6,22.6,,,,,
McFarland, T.J.,519008,,68.6,,8.4,23.0,,,,,
Diplán, Marcos,650959,62.3,,,0.2,10.5,27.0,,,,
Kintzler, Brandon,445213,0.6,74.5,,13.9,11.0,,,,,
Harper, Ryne,607560,24.3,,,17.3,,58.4,,,,
Zuber, Tyler,676604,57.9,,,30.4,6.3,5.3,,,,
Rodriguez, Chris,669735,2.4,63.0,,5.7,4.8,24.2,,,,
Garza, Justin,621057,4.0,49.7,29.2,8.9,8.2,,,,,
García, Luis,472610,1.2,58.3,,28.7,,,11.8,,,
Lakins Sr., Travis,664042,35.3,2.0,37.7,,6.2,18.8,,,,
Quijada, José,650671,73.3,,,13.0,13.6,,,,,
Brault, Steven,643230,39.6,13.9,,21.1,21.5,4.0,,,,
Nolin, Sean,543594,46.3,0.6,23.5,0.2,15.7,13.7,,,,
Selman, Sam,572125,55.3,0.2,,44.5,,,,,,
Santiago, Héctor,502327,65.4,1.6,,7.3,25.5,0.2,,,,
Rucker, Michael,621074,29.6,7.3,24.9,10.8,7.3,20.0,,,,
Murphy, Patrick,641907,35.4,30.2,,,1.4,32.9,,,,
Garza Jr., Ralph,621248,19.0,29.7,8.7,31.1,8.5,3.1,,,,
Wantz, Andrew,681806,45.5,,29.0,17.8,7.7,,,,,
Thompson, Ryan,657044,15.3,40.6,4.8,38.1,1.2,,,,,
Ellis, Chris,595939,48.1,,,30.7,8.5,12.7,,,,
Cabrera, Edward,665795,38.6,,,20.3,23.7,17.4,,,,
Lorenzen, Michael,547179,27.2,9.1,29.1,13.3,18.3,2.7,,,0.2,
Davis, Austin,656354,52.0,,,37.0,9.9,1.1,,,,
Farrell, Luke,608652,40.2,,,51.6,1.9,6.3,,,,
Sánchez, Miguel,667376,37.9,,,10.9,51.3,,,,,
Bedrosian, Cam,592135,50.2,,,24.6,,,25.2,,,
Campbell, Paul,669294,44.9,1.3,,29.1,6.0,18.8,,,,
Greene, Shane,572888,1.1,33.5,29.5,28.0,7.9,,,,,
Dugger, Robert,667498,32.5,10.0,,21.0,3.9,32.5,,,,
Hale, David,571735,46.9,8.7,,,24.3,20.2,,,,
Benjamin, Wes,605138,43.6,,27.3,,12.6,16.5,,,,
Megill, Trevor,656730,64.6,2.0,,18.5,,15.0,,,,
Ríos, Yacksel,605441,29.5,31.4,,25.8,,,13.3,,,
Sheffield, Jordan,642068,64.5,0.2,,18.4,16.9,,,,,
Nance, Tommy,667297,21.5,40.6,,11.0,,27.0,,,,
Barlow, Joe,669618,45.5,1.1,,40.7,,12.7,,,,
Castro, Anthony,621593,50.9,0.7,,47.4,1.1,,,,,
Pérez, Cionel,672335,64.3,,,28.0,7.7,,,,,
Doval, Camilo,666808,0.7,,40.9,58.4,,,,,,
Mears, Nick,683232,64.2,,,,,35.8,,,,
Fulmer, Carson,608334,39.3,1.1,24.6,,15.0,20.1,,,,
Otto, Glenn,657248,48.9,,,,6.0,9.8,,,35.3,
Greene, Conner,641632,35.3,12.8,,31.1,8.9,11.9,,,,
Díaz, Yennsy,660546,64.2,,,7.6,28.2,,,,,
Peters, Dillon,596071,35.0,16.7,,,32.1,16.3,,,,
Morgan, Adam,605388,14.0,20.8,,47.1,7.5,10.6,,,,
Eshelman, Thomas,664045,5.4,43.1,,26.8,14.3,10.4,,,,
Anderson, Shaun,641312,33.2,2.7,,61.1,1.4,1.6,,,,
Romano, Sal,607219,1.4,61.1,,35.5,,2.1,,,,
Ramirez, Yohan,670990,52.5,1.8,,,,,,,45.6,
Crick, Kyle,605195,37.1,1.6,,60.8,0.5,,,,,
Saucedo, Tayler,642048,10.6,45.8,,21.8,10.4,11.3,,,,
Pomeranz, Drew,519141,75.3,,,,,24.7,,,,
Gsellman, Robert,607229,4.9,57.6,,19.7,16.4,1.4,,,,
Thompson, Mason,666168,4.5,80.7,,13.7,1.2,,,,,
Alexy, A.J.,669935,54.5,,,19.3,18.2,8.0,,,,
Mejía, Humberto,650668,42.3,20.9,,17.3,15.9,3.6,,,,
Rodriguez, Jefry,622446,51.5,23.1,0.5,,2.9,22.1,,,,
Ryan, Joe,657746,65.8,,,16.0,10.4,7.8,,,,
Clippard, Tyler,461325,25.4,18.0,,2.4,34.1,4.9,15.1,,,
Poppen, Sean,664092,,52.7,,37.9,9.4,,,,,
Mazza, Chris,607391,4.2,29.4,35.3,29.1,2.0,,,,,
Hammer, JD,670456,59.3,2.2,,37.3,,1.2,,,,
Marshall, Evan,605359,23.6,12.9,,,36.1,27.4,,,,
Crichton, Stefan,592233,0.7,67.4,,,4.0,27.9,,,,
Whitley, Kodi,676831,56.9,,,15.2,27.9,,,,,
Wick, Rowan,592858,61.0,,7.5,9.5,,22.0,,,,
Knebel, Corey,608349,58.1,,,,,41.9,,,,
Milner, Hoby,571948,51.1,5.1,,,7.9,35.9,,,,
Ramírez, Erasmo,541640,6.6,38.8,45.2,0.8,8.2,0.5,,,,
Webb, Tyler,643778,38.8,29.1,,,18.6,13.5,,,,
Jackson, Jay,543351,34.5,,,64.7,0.8,,,,,
Naughton, Packy,676050,32.4,24.5,,13.1,27.7,2.3,,,,
Detmers, Reid,672282,45.1,,,24.0,4.7,26.1,,,,
Fernández, Junior,658551,43.3,4.0,,21.2,31.5,,,,,
Reid-Foley, Sean,656887,62.8,,,24.0,13.2,,,,,
Feliz, Michael,593140,58.1,,,34.3,7.6,,,,,
Borucki, Ryan,621366,,58.3,,32.8,8.9,,,,,
May, Dustin,669160,19.0,39.7,18.5,,,22.8,,,,
Hess, David,605276,58.0,,,38.1,3.5,0.3,,,,
Albers, Andrew,452027,31.8,32.1,,14.8,14.5,6.8,,,,
Strasburg, Stephen,544931,29.8,24.0,,,16.0,30.1,,,,
Uceta, Edwin,670955,0.3,44.0,,,41.3,14.4,,,,
Guenther, Sean,674944,56.9,,,34.2,8.9,,,,,
Enns, Dietrich,608650,58.6,,36.9,,2.5,1.9,,,,
Baragar, Caleb,670056,81.0,,,17.6,,1.4,,,,
Eickhoff, Jerad,595191,48.5,0.3,,28.6,7.3,15.4,,,,
Cleavinger, Garrett,664076,53.7,0.8,,45.5,,,,,,
Perdomo, Angel,622780,65.0,,,22.9,12.1,,,,,
Scrubb, Andre,668687,,,54.0,4.5,,41.5,,,,
Anderson, Drew,623454,49.4,,,20.2,14.2,16.2,,,,
Abbott, Cory,676265,59.1,,,17.9,6.3,16.8,,,,
Krol, Ian,571871,18.9,16.3,0.9,39.0,13.5,11.5,,,,
De León, José,592254,,62.8,,14.7,22.5,,,,,
Martin, Corbin,656686,64.0,,,9.6,14.9,11.4,,,,
Lindblom, Josh,458676,37.1,4.4,16.7,14.3,12.3,10.5,4.7,,,
Hutchison, Drew,571800,46.3,6.5,,35.7,11.5,,,,,
Nelson, Nick,656793,53.8,,,8.3,34.0,3.8,,,,
Warren, Art,605521,40.5,,,59.5,,,,,,
Castano, Daniel,641447,40.2,10.2,0.9,35.1,13.5,,,,,
Brebbia, John,605154,49.4,,,49.1,1.5,,,,,
Britton, Zack,502154,,83.8,,16.2,,,,,,
Archer, Chris,502042,45.0,,,41.9,12.8,0.3,,,,
Lawrence, Justin,664875,,65.0,,,,,,,35.0,
Wright Jr., Mike,605541,38.5,22.2,,30.2,9.2,,,,,
Lovelady, Richard,663992,33.3,16.8,,49.8,,,,,,
Yardley, Eric,642233,,73.0,,,6.3,20.6,,,,
Ramirez, Nick,598286,1.3,29.0,18.5,10.8,39.5,1.0,,,,
Jones, Nate,518858,26.2,36.6,,36.2,1.0,,,,,
Stashak, Cody,664054,45.5,,,51.9,2.6,,,,,
Davidson, Tucker,656353,49.8,,,40.3,0.7,9.2,,,,
Pearson, Nate,663878,62.8,,,34.6,1.0,1.7,,,,
Rodríguez, Manuel,655889,29.3,42.3,,28.3,,,,,,
Abad, Fernando,472551,6.4,46.5,5.4,,15.7,26.1,,,,
Herget, Jimmy,623474,17.1,32.4,,24.7,1.0,24.7,,,,
Conley, Adam,543045,54.1,,,16.9,28.7,0.3,,,,
Miller, Justin,502522,52.5,19.7,,27.8,,,,,,
Gustave, Jandel,594311,19.7,54.8,,25.5,,,,,,
Buchter, Ryan,488748,51.4,,11.2,,,37.4,,,,
Wieck, Brad,623364,84.6,,,3.4,,11.9,,,,
Law, Derek,571882,22.6,5.1,,58.6,3.8,9.9,,,,
Warren, Austin,681810,34.6,18.5,,43.7,3.1,,,,,
Zeuch, T.J.,643615,1.7,56.3,15.4,19.2,7.3,,,,,
Bukauskas, J.B.,656266,47.2,,,42.0,10.8,,,,,
García, Edgar,658305,18.1,34.2,,40.2,7.5,,,,,
Sherriff, Ryan,595411,,56.5,,41.7,1.8,,,,,
Newsome, Ljay,664714,58.0,,,,23.6,18.5,,,,
Overton, Connor,656818,38.7,12.4,1.5,19.0,24.1,4.0,,,0.4,
Brice, Austin,592169,44.5,14.2,,,2.6,38.7,,,,
Miller, Shelby,571946,63.4,,22.3,14.3,,,,,,
Duplantier, Jon,641541,36.7,24.8,,16.3,8.9,13.3,,,,
Barraclough, Kyle,607457,52.2,,,44.8,3.0,,,,,
Burrows, Beau,663366,57.7,,,29.6,10.9,1.9,,,,
Frankoff, Seth,571676,39.6,,,30.4,18.5,11.5,,,,
Margevicius, Nick,676606,72.6,,,6.9,2.7,17.8,,,,
Alexander, Scott,518397,,74.1,,17.4,8.5,,,,,
Bruihl, Justin,677865,,12.2,58.0,29.8,,,,,,
Paredes, Enoli,660600,66.1,,,31.9,,2.0,,,,
Thorpe, Lewis,626929,45.4,,,31.1,14.3,9.2,,,,
Heasley, Jonathan,669169,43.6,5.6,,0.4,23.6,26.8,,,,
Dayton, Grant,594795,64.4,0.8,,,,34.8,,,,